Dates,Jellyfishes,Siphonophores,Ctenophores,Annelids,Bryozoans,Gastropods,Bivalves,Total Cladocerans,Total copepodids,Total Cirrripeds,Amphipods,Total Decapods,OÃ¯kopleura,Doliolids,Ascidians,Chaetognaths
19/09/01,342,269,0,220,0,2174,2272,318,4885,611,24,0,1319,24,0,318
18/10/01,59,79,0,20,0,277,59,237,3952,20,59,40,1126,0,0,99
06/11/01,0,406,0,203,0,508,203,0,21232,102,305,203,7721,0,0,305
10/09/02,383,246,0,137,27,465,55,1395,5470,164,55,191,3474,2626,0,1039
24/10/02,150,61,0,22,11,128,6,28,1122,72,150,0,300,56,0,22
28/11/02,239,99,0,7,0,190,7,14,1408,21,14,7,211,155,0,7
10/09/03,56,42,22,25,8,208,42,306,556,292,17,75,189,33,8,0
08/10/03,170,118,13,105,0,4824,275,523,2614,0,118,170,1804,65,0,340
28/11/03,21,25,0,0,6,13,6,4,254,4,11,1,32,0,0,0
26/09/05,29,57,14,79,7,0,7,172,1432,29,0,79,200,0,21,0
25/10/05,107,180,0,0,0,0,8,25,1656,0,0,0,869,8,41,0
10/11/05,170,170,19,0,0,19,0,94,3811,0,19,0,1151,0,151,0
14/09/06,0,87,0,260,0,87,29,1908,5768,347,0,115,1517,303,58,173
04/10/06,367,204,0,245,0,1183,122,524,8406,549,490,0,1421,75,0,0
13/11/06,38,0,0,38,0,0,38,188,7632,376,0,0,451,0,0,38
04/10/07,84,84,0,84,0,84,84,336,17047,168,0,168,336,0,0,0
18/10/07,196,0,0,0,0,627,0,0,3955,255,0,20,3172,0,0,20
19/11/07,0,0,0,0,0,0,0,0,15686,0,0,0,0,0,0,0
08/09/08,126,210,0,126,0,1136,84,0,8417,252,0,42,3745,42,0,168
07/10/08,106,424,0,53,0,318,159,159,10810,318,0,0,6359,0,0,106
20/11/08,56,326,0,28,28,0,19,0,1875,19,0,0,2472,0,0,56
14/09/09,919,153,0,1991,0,766,0,1991,31086,1225,0,459,3981,153,0,306
13/10/09,19,57,0,114,0,19,19,19,3821,38,0,19,855,0,0,76
27/11/09,70,14,0,0,0,7,0,7,1412,7,0,0,14,0,0,49
16/09/10,99,40,0,159,0,159,0,774,4068,40,0,99,1032,258,0,0
15/10/10,9,0,0,27,0,9,0,0,1823,173,0,9,447,0,0,73
17/11/10,8,0,0,8,0,8,8,0,1646,69,0,8,396,0,0,8
06/09/11,344,0,43,258,0,644,86,172,8568,215,0,258,2105,43,0,558
20/10/11,359,120,0,239,359,1555,478,359,27296,359,0,0,2511,0,0,0
18/11/11,19,38,0,151,358,19,38,113,3829,810,0,0,2504,0,0,94
07/09/12,0,0,0,751,0,877,125,0,25676,4258,0,0,14404,0,0,250
23/10/12,107,36,0,179,36,1003,107,0,7238,1039,0,36,1577,0,0,215
23/11/12,17,0,0,29,0,29,6,0,1145,842,0,6,1420,0,0,0
13/09/13,41,124,0,910,,3061,83,165,12369,910,0,165,5791,0,0,207
14/10/13,0,0,108,108,,3829,216,0,10193,1079,0,216,5177,0,0,108
26/11/13,0,0,0,177,,59,11,11,1828,102,0,21,606,0,0,53
16/09/14,53,264,0,159,,34,106,264,14089,582,0,529,3272,0,0,1163
14/10/14,39,99,39,158,,526,39,0,2632,729,0,20,1104,0,0,158
17/11/14,46,0,0,0,,181,0,0,5621,835,0,0,846,0,0,0
10/08/24,0,0,0,0,0,2244,0,32,3291,40,0,120,32,0,0,48